rank,content_id,model_high_priority_score,predicted_priority,suggested_action,reason_codes
1,content_bb1edbf0ba6c,0.8607516354713213,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
2,content_700de55b1459,0.8578521191242091,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
3,content_2bf7b6b90bfa,0.8488474965842727,High,priority_refresh_review,['model_high_priority']
4,content_98aa0aecb1d9,0.8445865416858487,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
5,content_dbb4c75afccc,0.8401021990602645,High,priority_refresh_review,['model_high_priority']
6,content_c09e49e87ab2,0.838689324524159,High,priority_refresh_review,['model_high_priority']
7,content_500bd3907331,0.837883648637828,High,priority_refresh_review,['model_high_priority']
8,content_e988c1699454,0.8367011588043296,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
9,content_d447a286b0ed,0.8346316043449125,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
10,content_66458ac1b739,0.8338158229825563,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
11,content_1d0963b56227,0.8335956999406194,High,priority_refresh_review,['model_high_priority']
12,content_0d7f4fecb391,0.8322208029551924,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
13,content_b9b230d52cfa,0.831233687689246,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
14,content_35d63627bf3e,0.830126472499896,High,priority_refresh_review,['model_high_priority']
15,content_0b47dae0c7f9,0.8288579438631863,High,priority_refresh_review,['model_high_priority']
16,content_f73c382ac270,0.8279917629156676,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
17,content_6677fd6c4ea5,0.8243625965700759,High,priority_refresh_review,['model_high_priority']
18,content_b46c62b14582,0.822190557161726,High,priority_refresh_review,['model_high_priority']
19,content_7766ffacdcfa,0.8214194504282338,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
20,content_e09b5602ba42,0.819222780228188,High,priority_refresh_review,['model_high_priority']
21,content_ff4370afd49c,0.8184824765593431,High,priority_refresh_review,['model_high_priority']
22,content_f55fd2d8ed04,0.8184359615808527,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
23,content_32b4e5a2f630,0.8181173708636112,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
24,content_3cd58a4a2731,0.8177150345051626,High,priority_refresh_review,['model_high_priority']
25,content_2ba626fea4d6,0.8134843723242068,High,priority_refresh_review,['model_high_priority']
26,content_24d8b73697f6,0.8106071464177953,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
27,content_c3f6d634ff00,0.8103749684628715,High,priority_refresh_review,['model_high_priority']
28,content_a662ef2af9b4,0.8092990826126103,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
29,content_ec257d803f69,0.808878483646344,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
30,content_f9922b5e46b4,0.8048649708369139,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
31,content_2d22e0215964,0.8044511520695978,High,priority_refresh_review,['model_high_priority']
32,content_9ac61c04930e,0.8036097305725143,High,priority_refresh_review,"['observed_declining_trend', 'large_observed_decline', 'model_high_priority']"
